supplier,category,title,sku,gtin,sitePrice,landedCost,carriageKnown,photos,tier,rrp,stock,mineBay,keepeBay,minOnBuy,keepOnBuy,vsRrp,viableOnEbayUnderRrp
Hill Interiors,candles-and-lanterns,Rhea Large Lighthouse Tealight Holder,24480,5050140448083,33,25.09,yes,4,below,,,39,8.05,37,7.83,,yes
Aosom,garden-lighting,"1.6m Dimmable Solar Bollard Light, Black",842-108,,59,23.44,NO — margin overstated,5,strong,,,37,7.99,35,7.68,,yes
Aosom,garden-lighting,"1.2m Dimmable Solar Bollard Lights, Set of 2, Black",B30-P003,,45,23.44,NO — margin overstated,4,viable,,,37,7.99,35,7.68,,yes
Aosom,garden-lighting,"1.6m Dimmable Solar Bollard Lights, Set of 2, Black",B30-P011,,56.25,23.44,NO — margin overstated,4,strong,,,37,7.99,35,7.68,,yes
Hill Interiors,wall-art,Tristan Mirror And Wood 4X6 Frame,20836,5050140083680,33,23.7,yes,2,below,,,37,7.73,35,7.42,,yes
Aosom,garden-lighting,"Solar Lamp Post Light with Planter, Black",B30-068V00BK,,39,22.2,NO — margin overstated,4,below,,,35,7.53,33,7.14,,yes
Hill Interiors,planters,Seville Collection Lebes Planter,22330,5050140233085,29,23.1,yes,3,below,,,36,7.48,34,7.13,,yes
Hill Interiors,candles-and-lanterns,Round Ceramic Lattice Hurricane Lantern,19429,5050140942994,26,20.22,yes,4,below,,,32,6.94,30,6.43,,yes
Hill Interiors,candles-and-lanterns,Luxe Collection Natural Glow S/ 2 Ivory LED Dinner Candles,21248,5050140124789,27,20.22,yes,3,below,,,32,6.94,30,6.43,,yes
Hill Interiors,planters,Blue Agapanthus Plant In Pot,23718,5050140371886,27,19.91,yes,4,below,,,31,6.4,29,5.85,,yes
Aosom,lighting,"Starry LED Wall Lights, Set of 2, Gold",B31-563V00GD,,42,20,NO — margin overstated,4,viable,,,31,6.31,30,6.65,,yes
Hill Interiors,candles-and-lanterns,Large Frosted Eucalyptus Candle Wreath,21186,5050140118689,23,18.13,yes,5,below,,,28,5.61,27,5.83,,yes
Hill Interiors,planters,Small Blue Flora Planter Pot,24724,5050140472484,23,17.44,yes,2,below,,,27,5.44,26,5.63,,yes
Aosom,lighting,"Spiral Raindrop Crystal Chandelier, Silver",B31-087,,39,16.67,NO — margin overstated,4,viable,,,26,5.36,25,5.5,,yes
Hill Interiors,planters,Eucalyptus Plant In Stone Effect Pot,22094,5050140209486,23,16.05,yes,4,below,,,25,5.13,24,5.23,,yes
Hill Interiors,christmas-decorations,Large Rustic Metal Hanging Bell,24015,5050140401583,19,13.96,yes,3,below,,,22,4.65,21,4.63,,yes
Aosom,lighting,"Geometric Mesh LED Wall Lights, Set of 2, Gold",B31-565V00GD,,69,8.75,NO — margin overstated,4,strong,,,14,3.02,13,2.69,,yes
