Title,SKU,Supplier SKU,Retail Price (GBP),True Cost incl. 20% VAT (GBP),Margin (GBP),Margin (%)
"Weston Marble Effect Dining Table with 6 Chairs Set | Kaiku","","2405942","778.00","693.86","84.14","10.8"
"Astratto Natural Textured Canvas Wall Art | Kaiku","","5521147","109.00","97.20","11.80","10.8"
"Lena Oak Veneer Rectangular Side Table with Brushed Gold Legs | Kaiku","","5527921","389.00","347.04","41.96","10.8"
"Westford Rectangle Dining Table with 6 Chairs Set | Kaiku","","2405944","772.00","686.93","85.07","11.0"
"Westford Dining Table with 6 Chairs Set | Kaiku","","2405945","772.00","686.93","85.07","11.0"
"Trieste Champagne Glass Floor Lamp | Kaiku","","5511616","211.00","187.85","23.15","11.0"
"Opus Grey Woven Rope Three Seater Sofa with Cushions | Kaiku","","5528547","770.00","684.42","85.58","11.1"
"Trento Double Ring Design Wall Mirror | Kaiku","","5503272","189.00","167.88","21.12","11.2"
"Siena Three Seat Midnight Velvet Sofa | Kaiku","","5528781","1190.00","1054.61","135.39","11.4"
"Weston Round Marble Effect Dining Table with 6 Chairs Set | Kaiku","","2405941","761.00","673.73","87.27","11.5"
"Abira Gold Finish Adjustable 8 Arm Statement Pendant Light | Kaiku","","5511371","264.00","233.63","30.37","11.5"
"Macey Large Faceted Floor Lamp | Kaiku","","5511320","289.00","255.42","33.58","11.6"
"Loire Plant Stand | Kaiku","","5502153","223.00","196.67","26.33","11.8"
"Darnell White And Black Small Planter | Kaiku","","5505797","53.00","46.73","6.27","11.8"
"Carta Black and White Stripe Papier Mache Domed Floor Lamp | Kaiku","","5511869","298.00","262.24","35.76","12.0"
"Kerala Natural Recycled Wood Dining Table With Cross Base | Kaiku","","5527850","1499.00","1319.14","179.86","12.0"
"Manado Natural Rattan Sofa with Cushions | Kaiku","","5528626","520.00","457.32","62.68","12.1"
"Opus Rope Woven Longue Bench with Cushions | Kaiku","","5528550","744.00","653.33","90.67","12.2"
"Babylon Six Bulb Black Crystal Chandelier | Kaiku","","5511667","370.00","324.59","45.41","12.3"
"Goa Natural Rattan Effect Hanging Chair | Kaiku","","2450046","369.00","323.27","45.73","12.4"
"Naro Mango Wood and Gold Finish Console Table | Kaiku","","5528940","369.00","323.27","45.73","12.4"
"Vitus Black and Gold Metal Wall Clock | Kaiku","","2200970","72.84","63.41","9.43","12.9"
"Boho Patterned Mango Wood 2 Door Sideboard with Drawers | Kaiku","","5502641","963.00","838.36","124.64","12.9"
"Trento Small Square Black Metal Frame Round Insert Wall Mirror | Kaiku","","5503394","109.00","94.96","14.04","12.9"
"Surina 3 Seat Stone Fabric Sofa | Kaiku","","5527896","1290.00","1122.04","167.96","13.0"
"Imperia Ceramic Marble Effect Rectangular Dining Table | Kaiku","","5528866","713.00","620.33","92.67","13.0"
"Milan Grey Wash Recycled Elm Wood 4 Door Sideboard | Kaiku","","5527521","1590.00","1377.16","212.84","13.4"
"Arlo Large Engraved Natural And Black Wooden Planter | Kaiku","","5506560","64.00","55.37","8.63","13.5"
"Sabia Green And Gold Two Tiered Plant Stand | Kaiku","","5509128","81.00","70.08","10.92","13.5"
"Carta Black Etched Linear Design Papier Mache Table Lamp | Kaiku","","5511874","119.00","102.94","16.06","13.5"
"Lyon Linen Dining Chair with Oak Wood Whitewash Finish | Kaiku","","5501655","297.00","256.01","40.99","13.8"
"Loire White Double Bed | Kaiku","","5502120","989.00","852.85","136.15","13.8"
"Trieste Large Angular Pendant Light | Kaiku","","5511598","239.00","205.98","33.02","13.8"
"Hanah Black Snake Leather Effect Floor Lamp with Chrome Base and Black Shade | Kaiku","","5511740","199.00","171.59","27.41","13.8"
"Imperia 2 Tier Large Asymmetrical Ceramic Coffee Table | Kaiku","","5528860","797.00","686.38","110.62","13.9"
"Darnell Large Black And White Finish Planter | Kaiku","","5505802","67.00","57.61","9.39","14.0"
"Trieste Large Floor Lamp | Kaiku","","5511615","299.00","256.49","42.51","14.2"
"Templar Nickel And Bronze Finish Wall Mirror | Kaiku","","5503291","139.00","119.04","19.96","14.4"
"Newton Gold Finish Metal Shade Floor Lamp | Kaiku","","5511682","249.00","213.24","35.76","14.4"
"Hutchinson Clear Crystal Floor Lamp with Black Metal | Kaiku","","5511734","249.00","213.24","35.76","14.4"
"Tamzin Blue Velvet Curved Back Dining Chair | Kaiku","","5527329","129.00","110.40","18.60","14.4"
"Wimslow BlackTempered Glass Dining Table with 6 Chairs | Kaiku","","2405946","695.00","594.53","100.47","14.5"
"Darnell Natural And Black Tapered Planter | Kaiku","","5506421","67.00","57.29","9.71","14.5"
"Darnell Round Brown Planter With Angular Legs | Kaiku","","5506425","67.00","57.29","9.71","14.5"
"Skye Nickel Finish Rectangular Floor Lamp | Kaiku","","5511398","431.00","368.35","62.65","14.5"
"Hoffmann Black Mirrored Glass and Nickel Finish Plant Stand | Kaiku","","5502329","189.00","161.44","27.56","14.6"
"Darnell Large Grey Speckled Planter | Kaiku","","5505790","74.00","63.16","10.84","14.6"
"Saronno Grey Marble Top Media Unit | Kaiku","","5528975","1489.00","1272.35","216.65","14.6"
"Arles 3 Tier Water Hyacinth Storage Caddy | Kaiku","","2406651","109.00","92.92","16.08","14.8"
"Avento Set Of Three Gold Finish Planters | Kaiku","","1411647","56.00","47.64","8.36","14.9"
"Maxwell Textured Beige Fabric Curved Swivel Dining Chair | Kaiku","","2407101","228.00","194.03","33.97","14.9"
"Babylon 6 Bulb Crystal Chandelier | Kaiku","","5511666","378.00","321.68","56.32","14.9"
"Leyna Chrome Base Floor Lamp | Kaiku","","2501998","238.00","202.34","35.66","15.0"
"Kerala Recycled Natural Wood Console Table with Curved Legs | Kaiku","","5527838","684.00","581.33","102.67","15.0"
"Carta Black And White Papier Mache Table Lamp with Geometric Lines | Kaiku","","5511824","129.00","109.55","19.45","15.1"
"Sarter Black Mango Wood Chest of 4 Drawers | Kaiku","","5528469","749.00","636.18","112.82","15.1"
"Blossom Wall Mirror | Kaiku","","1101473","109.00","92.45","16.55","15.2"
"Black Garden Chair | Kaiku","","2404467","76.00","64.40","11.60","15.3"
"Darnell Large Chevron Planter | Kaiku","","5505800","67.74","57.29","10.45","15.4"
